"","female","Topic_study","parents","work","Q12_1","Q12_2","Q12_3","Q12_4","Q12_5","Q12_6","Q13_5","Q13_6","Q13_7","Q13_8"
"213",1,1,0,1,2,3,4,3,3,3,2,4,3,3
"214",1,1,0,1,4,2,2,2,1,2,4,2,4,4
"215",0,1,0,1,3,2,4,2,2,2,4,4,4,4
"216",0,2,1,1,4,4,4,4,3,2,5,4,5,5
"217",0,1,1,0,1,4,2,1,2,1,3,3,2,2
"218",0,1,1,1,2,3,2,2,2,2,4,4,4,4
"219",1,1,0,1,2,2,2,2,3,1,4,4,5,5
"220",0,1,0,0,2,3,4,3,3,2,4,4,4,4
"221",0,2,0,1,2,2,2,4,2,3,4,2,5,3
"222",0,1,1,1,2,2,3,3,1,2,4,5,5,3
"223",0,2,0,1,3,3,5,4,3,4,2,2,4,3
"224",1,2,0,1,2,2,3,3,4,2,2,4,4,3
"225",0,1,1,0,2,2,3,3,2,2,4,4,4,4
"226",0,1,1,1,1,2,1,2,2,4,4,3,4,2
"227",0,2,1,1,2,3,3,4,4,2,3,2,4,4
"228",0,2,0,1,4,4,3,5,2,3,3,3,4,4
"229",0,2,0,1,4,4,3,4,2,2,4,4,4,4
"230",1,1,0,1,2,2,2,3,4,2,4,4,4,4
"231",1,2,0,0,3,2,3,4,3,2,3,3,4,3
"232",1,2,0,1,3,2,2,3,2,2,4,3,4,4
"233",0,1,1,1,4,3,4,5,2,2,4,3,5,4
"234",0,1,1,1,4,4,4,3,4,3,3,3,3,4
"235",0,2,0,1,4,4,5,3,4,4,5,3,5,5
"236",1,2,1,1,4,3,3,4,2,3,4,4,4,4
"237",1,2,0,1,4,4,4,4,3,4,3,4,3,4
"238",0,1,0,1,4,4,5,4,2,2,4,4,4,4
"239",0,2,1,1,4,4,5,3,4,4,3,3,3,3
"240",1,2,0,1,4,3,3,4,2,2,3,3,4,3
"241",0,2,0,1,4,4,4,3,4,2,2,2,2,2
"242",0,2,0,0,3,4,4,3,4,4,4,4,4,4
"243",0,2,0,1,4,4,4,4,3,4,1,1,1,1
"244",1,2,1,1,2,2,4,4,3,3,4,4,2,3
"245",0,1,0,1,2,3,3,3,2,2,4,5,5,5
"246",0,2,1,1,2,3,2,2,3,3,2,2,3,2
"247",0,2,1,1,2,3,2,3,2,3,4,4,4,4
